ENTRADAS;VISITAS_PAGINAS;GASTO_TOTAL;PRECIO_MEDIO_ENTRADA;TRANSACCIONES;CCAA;PROVINCIA;AÑO;MES
17;328;977,5;57,5;4;Castilla - La Mancha;Cuenca;2023;5
8;25;806,4;100,8;2;Castilla y León;León;2023;5
45556;4114131;2305533,78;54,043;19410;Cataluña;Barcelona;2023;5
14;13;1261,25;79,5833;4;Castilla y León;Burgos;2023;5
22;9;0;0;3;Castilla y León;Salamanca;2023;5
37;52;4165,36;93,872;13;Canarias;Las Palmas;2023;5
34;157;1155,3609;42,623;16;Región de Murcia;Murcia;2023;5
10;237;1714;116,5;4;Castilla y León;Valladolid;2023;5
80000;10653805;4622483,108;40,6531;32788;Comunidad de Madrid;Madrid;2023;5
4;17;185;52,5;2;Principado de Asturias;Asturias;2023;5
9;9;564,34;61,54;4;Galicia;A Coruña;2023;6
40;69;10237,904;115,5651;11;Andalucía;Granada;2023;6
378;11602;21938,1962;76,5783;115;Illes Balears;Illes Balears;2023;6
105;2085;4602,57;57,4504;42;Castilla y León;Zamora;2023;6
1569;43505;78531,5194;38,7377;537;Extremadura;Badajoz;2023;6
34;36;4856,44;108,524;11;Canarias;Las Palmas;2023;6
55;338;7983,3112;109,2754;19;Canarias;Santa Cruz de Tenerife;2023;6
1989;64682;95003,3073;45,1077;760;Comunitat Valenciana;Valencia/València;2023;6
33;492;1791,2;79,08;13;Región de Murcia;Murcia;2023;6
4;0;917,6;229,4;2;País Vasco;Gipuzkoa;2023;6
70;1101;3492,315;45,2242;21;Comunitat Valenciana;Castellón/Castelló;2023;6
67;294;2857,6569;37,9651;26;Extremadura;Cáceres;2023;6
8;20;1896,92;286,1533;3;Comunidad Foral de Navarra;Navarra;2023;6
12;67;1215,8;82,79;6;Castilla y León;Valladolid;2023;6
1000;59120;44903,4427;68,1519;305;Comunitat Valenciana;Alicante/Alacant;2023;6
25;8;1812;121,5;8;Castilla y León;Segovia;2023;6
9;33;581,4;59,85;5;Principado de Asturias;Asturias;2023;6
448;22705;23293,7681;62,8362;173;Andalucía;Málaga;2023;6
105;2682;3623,76;34,512;52;Castilla y León;León;2023;6
198;1873;11161,2216;49,8199;70;Andalucía;Cádiz;2023;6
10;3;0;0;3;Castilla y León;Salamanca;2023;6
103;3562;4388,226;31,569;33;Castilla - La Mancha;Cuenca;2023;6
2;2;154;77;1;Castilla - La Mancha;Ciudad Real;2023;6
102;403;2454,994;47,3031;43;Castilla - La Mancha;Toledo;2023;6
890;6867;80380,0671;91,0624;372;Cataluña;Girona;2023;6
55;4359;4474,3016;77,2279;22;Andalucía;Huelva;2023;6
54;1455;3503,1543;67,4742;19;Andalucía;Almería;2023;6
43;807;4131,4;51,4125;13;Cantabria;Cantabria;2023;6
5;20;252,5;47,625;4;Aragón;Zaragoza;2023;6
32;132;640,4;10,814;16;Andalucía;Córdoba;2023;6
59476;7234557;3283653,112;39,2679;25159;Comunidad de Madrid;Madrid;2023;6
697;29583;44350,994;68,5625;294;Cataluña;Tarragona;2023;6
249;5538;10564,9011;35,4581;90;Andalucía;Sevilla;2023;6
12;55;1242,2669;78,1556;5;País Vasco;Bizkaia;2023;6
32566;1969181;1694539,421;54,2981;14256;Cataluña;Barcelona;2023;6
27;236;2368,8746;80,4972;8;Aragón;Teruel;2023;6
9;35;342,87;38,645;8;País Vasco;Araba/Álava;2023;6
3;7;348,1;111,9;2;Castilla - La Mancha;Guadalajara;2023;6
5;5;194,5;39,25;2;La Rioja;La Rioja;2023;6
90;914;10780,9327;109,7167;31;Cataluña;Lleida;2023;6
3057;143747;146278,1707;34,8549;1133;Extremadura;Badajoz;2023;7
22;23;2438,204;105,4235;9;Canarias;Las Palmas;2023;7
292;11026;20116,4244;91,6384;128;Illes Balears;Illes Balears;2023;7
29;70;2690,3622;124,2207;9;Comunidad Foral de Navarra;Navarra;2023;7
88;17;13259,98;141,34;23;Cataluña;Lleida;2023;7
18;24;1879,7725;71,5494;8;País Vasco;Bizkaia;2023;7
1636;43070;73507,6827;44,1798;640;Comunitat Valenciana;Valencia/València;2023;7
19;52;1131,2;61,4333;7;Región de Murcia;Murcia;2023;7
6;8;438,8;67,35;3;Castilla y León;Valladolid;2023;7
16;170;885,0288;55,3143;7;Andalucía;Huelva;2023;7
22;62;1938,6;74,1786;8;Aragón;Zaragoza;2023;7
297;5664;8137,9576;37,162;130;Comunitat Valenciana;Castellón/Castelló;2023;7
58;265;2789,3442;85,0242;25;Aragón;Teruel;2023;7
87;630;3502,5069;40,2587;46;Castilla y León;Zamora;2023;7
214;1051;15524,5643;72,2734;77;Andalucía;Cádiz;2023;7
1221;66102;87575,0624;74,6556;367;Cantabria;Cantabria;2023;7
48723;5478764;2523602,393;41,0111;20630;Comunidad de Madrid;Madrid;2023;7
6;0;198,5;24,85;6;País Vasco;Araba/Álava;2023;7
51;775;1834,1188;48,4282;23;Principado de Asturias;Asturias;2023;7
22;4;584;41,4667;8;Castilla y León;Salamanca;2023;7
18;2;571;95,125;8;Castilla y León;Segovia;2023;7
1249;10056;112465,2089;82,6801;518;Cataluña;Girona;2023;7
24;14;1940,8304;73,1617;9;Andalucía;Granada;2023;7
35;78;804,4591;24,08;16;Castilla - La Mancha;Toledo;2023;7
1348;39367;71444,192;74,5628;404;Comunitat Valenciana;Alicante/Alacant;2023;7
181;1592;7821,0162;38,0062;73;Andalucía;Sevilla;2023;7
181;5006;13240,6345;87,6959;45;Andalucía;Almería;2023;7
93;978;16582,8724;115,1948;32;Canarias;Santa Cruz de Tenerife;2023;7
30812;1874659;1560833,226;55,4709;13514;Cataluña;Barcelona;2023;7
4;0;257,28;64,32;2;Andalucía;Córdoba;2023;7
861;110668;54438,6027;67,2024;364;Cataluña;Tarragona;2023;7
5;0;815;163;2;Galicia;Pontevedra;2023;7
174;1095;7671,174;44,5892;55;Extremadura;Cáceres;2023;7
26;18;2411,7326;60,274;12;Galicia;A Coruña;2023;7
5;0;205,75;41,125;2;La Rioja;La Rioja;2023;7
1434;32929;98925,0585;46,6072;380;Andalucía;Málaga;2023;7
11481;45692;307501,27;20,0013;2424;Castilla y León;Salamanca;2023;8
985;3921;22112,38;39,7733;409;Castilla y León;Burgos;2023;8
3888;15474;171392,18;32,2123;2356;Comunidad Foral de Navarra;Navarra;2023;8
11626;46267;648502,51;42,7843;3913;Castilla y León;Valladolid;2023;8
4114;16372;146961,4886;45,6779;2170;Andalucía;Cádiz;2023;8
182;725;4928,83;39,3143;125;Extremadura;Cáceres;2023;8
611;2435;14785,23;39,6956;377;Extremadura;Badajoz;2023;8
5201;20702;73904,3284;22,0405;2885;Canarias;Las Palmas;2023;8
2742;10915;43274,87;6,3646;1228;País Vasco;Araba/Álava;2023;8
2238;8718;95847,595;28,7635;1071;Región de Murcia;Murcia;2023;8
8;32;544;68;2;Andalucía;Huelva;2023;8
2225;8855;49927,47;24,4173;1323;Aragón;Zaragoza;2023;8
1114;4436;33630,86;30,9738;479;Comunitat Valenciana;Valencia/València;2023;8
650;2587;45089,09;59,093;256;Aragón;Teruel;2023;8
370;1473;10141,07;31,8517;154;Castilla - La Mancha;Toledo;2023;8
46688;185810;1407371,027;38,4863;26483;Illes Balears;Illes Balears;2023;8
1038;4130;10145,655;24,2258;497;Aragón;Huesca;2023;8
11761;47002;297980,895;45,4547;6531;Comunidad de Madrid;Madrid;2023;8
2577;10258;77082,61;30,7145;1106;Cataluña;Girona;2023;8
1466;5836;20899,09;30,9544;836;Andalucía;Jaén;2023;8
4449;17706;126924,19;37,6955;2227;Andalucía;Sevilla;2023;8
2999;11936;111054,745;34,4334;1898;Canarias;Santa Cruz de Tenerife;2023;8
468;1864;5708,72;15,2325;382;Castilla - La Mancha;Albacete;2023;8
1696;6750;106423,155;39,2959;992;Galicia;Pontevedra;2023;8
713;2838;29600,06;40,9122;334;País Vasco;Gipuzkoa;2023;8
730;2905;17531;17,7575;249;Comunitat Valenciana;Castellón/Castelló;2023;8
251;999;8078,75;37,3063;115;Cantabria;Cantabria;2023;8
1925;7659;44700,54;32,5043;831;Andalucía;Granada;2023;8
227;904;4957,38;12,254;123;Castilla y León;León;2023;8
5383;21423;154425,88;59,99;1732;País Vasco;Bizkaia;2023;8
46;183;1409,48;41,475;13;Castilla - La Mancha;Cuenca;2023;8
622;2474;7399,18;20,35;352;Castilla y León;Soria;2023;8
2533;10081;48258,47;12,8433;2347;Castilla y León;Zamora;2023;8
974;3876;44002,56;43,26;421;Castilla y León;Segovia;2023;8
216;860;7532,49;33,9467;107;Castilla - La Mancha;Ciudad Real;2023;8
14995;57333;379063,81;41,4041;8300;Cataluña;Barcelona;2023;8
1205;4796;36277,91;23,1088;567;La Rioja;La Rioja;2023;8
449;1787;16806,61;34,872;217;Cataluña;Lleida;2023;8
4762;18952;154054,42;35,81;1708;Andalucía;Córdoba;2023;8
3146;12040;146190,09;38,5488;1896;Andalucía;Málaga;2023;8
73;290;1440,47;19,43;47;Castilla y León;Ávila;2023;8
14873;59192;398476,15;45,885;9731;Andalucía;Almería;2023;8
1733;6897;36552,8;19,0485;955;Galicia;A Coruña;2023;8
1289;5132;29874,42;29,6021;736;Principado de Asturias;Asturias;2023;8
295;1174;3141;26,678;179;Castilla - La Mancha;Guadalajara;2023;8
872;3471;1008,5;27,5833;137;Galicia;Lugo;2023;8
250;996;14243,8;52,42;92;Galicia;Ourense;2023;8
2740;10106;124559,075;36,4039;1366;Comunitat Valenciana;Alicante/Alacant;2023;8
5289;21053;136642,515;32,3212;2776;Cataluña;Tarragona;2023;8
1046;4115;22362,64;17,125;595;Cataluña;Lleida;2023;9
2466;9696;49613,32;39,5431;1243;Andalucía;Granada;2023;9
248;975;404,14;6,1233;72;Castilla - La Mancha;Guadalajara;2023;9
5702;22423;104847,26;18,5193;2871;Canarias;Las Palmas;2023;9
782;3074;24614,1;30,4856;309;Castilla - La Mancha;Toledo;2023;9
3670;14435;96259,94;24,7281;1482;País Vasco;Gipuzkoa;2023;9
259;1019;5342,75;27,428;164;Aragón;Huesca;2023;9
3396;13218;85874,9;21,3315;1855;Región de Murcia;Murcia;2023;9
1544;6070;43435,5943;33,4739;628;Comunitat Valenciana;Castellón/Castelló;2023;9
2367;9309;88398,48;29,2425;1051;Castilla y León;Valladolid;2023;9
11578;45530;200902,92;17,3027;6573;Aragón;Zaragoza;2023;9
689;2710;18615,51;21,9533;280;Castilla - La Mancha;Albacete;2023;9
5310;19955;194556,1;33,4279;2967;Comunitat Valenciana;Alicante/Alacant;2023;9
277;1089;4590,4;13,4033;166;Castilla y León;León;2023;9
1961;7712;74999,66;40,9757;915;Cantabria;Cantabria;2023;9
2;8;133,24;66,62;2;Castilla y León;Ávila;2023;9
2559;10064;80106,594;22,2792;1277;Andalucía;Cádiz;2023;9
514;2021;21583,37;34,355;271;Castilla y León;Zamora;2023;9
3293;12950;74953,95;21,85;1320;Castilla y León;Salamanca;2023;9
12;47;309,84;25,82;7;Castilla y León;Palencia;2023;9
326;1281;6766,18;24,73;139;Castilla y León;Burgos;2023;9
1953;7683;106453,73;50,9125;632;Extremadura;Badajoz;2023;9
12167;47847;405577,5024;25,9306;5068;Comunitat Valenciana;Valencia/València;2023;9
1268;4986;29672,51;19,3363;657;Galicia;Pontevedra;2023;9
3784;14883;184668,95;37,3345;1545;Andalucía;Almería;2023;9
2520;9908;79829,78;41,7038;1267;Andalucía;Córdoba;2023;9
22;87;464,64;21,12;14;Castilla - La Mancha;Cuenca;2023;9
362;1423;10598,11;29,285;211;Aragón;Teruel;2023;9
31832;122985;752616,15;32,654;17738;Cataluña;Barcelona;2023;9
1040;4091;34299,87;31,0118;546;Extremadura;Cáceres;2023;9
8577;33730;11666,05;33,1014;1527;Galicia;Lugo;2023;9
4024;15193;156505,26;38,1777;2066;Andalucía;Málaga;2023;9
8665;34075;203422,75;26,3187;4274;Andalucía;Sevilla;2023;9
579;2278;16066,13;30,1117;371;La Rioja;La Rioja;2023;9
1836;7220;34321,5;21,4775;1144;Principado de Asturias;Asturias;2023;9
2680;10540;69137,91;34,5675;1267;País Vasco;Bizkaia;2023;9
3056;12015;172930,22;53,968;975;Galicia;Ourense;2023;9
3075;12093;106732,311;33,4967;1756;Canarias;Santa Cruz de Tenerife;2023;9
2160;8492;53659,995;17,4179;1297;Galicia;A Coruña;2023;9
45216;177816;1359177,298;36,2843;24934;Illes Balears;Illes Balears;2023;9
342;1344;10424,13;27,1;177;Castilla - La Mancha;Ciudad Real;2023;9
29;114;412,96;14,24;10;Ceuta;Ceuta;2023;9
602;2368;9030;15;602;Castilla y León;Soria;2023;9
3768;14822;112978,26;42,9946;1713;Cataluña;Tarragona;2023;9
1083;4257;12790,1625;6,7642;501;País Vasco;Araba/Álava;2023;9
949;3733;13439,53;41,743;627;Andalucía;Jaén;2023;9
2606;10251;56147,69;35,6003;1258;Cataluña;Girona;2023;9
38538;151697;889407,605;32,6728;21481;Comunidad de Madrid;Madrid;2023;9
1389;5462;53527,46;38,0775;668;Castilla y León;Segovia;2023;9
4771;18764;146835,04;34,494;2540;Comunidad Foral de Navarra;Navarra;2023;9
2084;6547;33850,73;17,3075;1196;Cataluña;Lleida;2023;10
1066;3350;12326,16;8,8933;471;Castilla y León;Zamora;2023;10
1470;4618;37706,04;42,645;675;Comunitat Valenciana;Castellón/Castelló;2023;10
3477;10926;84467,8568;30,5904;2031;Principado de Asturias;Asturias;2023;10
5435;17076;143240,3;23,8394;2455;País Vasco;Bizkaia;2023;10
2111;6633;38700,215;24,2061;1057;Galicia;Pontevedra;2023;10
983;3088;6651,8;9,8767;759;Castilla y León;León;2023;10
46287;143930;928279,96;30,7303;25221;Cataluña;Barcelona;2023;10
9;28;135;15;6;Andalucía;Huelva;2023;10
60012;188550;1855680,318;24,0312;34086;Illes Balears;Illes Balears;2023;10
64;201;1817,6;28,4;24;Castilla y León;Ávila;2023;10
582;1829;28373,41;44,4622;197;Galicia;Lugo;2023;10
808;2539;17743,05;22,725;568;Aragón;Huesca;2023;10
13;41;412,75;31,75;6;Castilla y León;Palencia;2023;10
968;3040;13698,56;28;339;Castilla - La Mancha;Guadalajara;2023;10
16386;51486;292642,9;16,2713;9183;Aragón;Zaragoza;2023;10
1082;3399;19699,3775;12,2373;594;País Vasco;Araba/Álava;2023;10
564;1771;15707,7;40,1457;348;Extremadura;Cáceres;2023;10
3716;11674;87258,81;43,4778;1942;Andalucía;Cádiz;2023;10
1972;6197;59780,03;26,5892;844;Castilla y León;Valladolid;2023;10
11018;33848;285617,83;28,0479;5959;Comunitat Valenciana;Alicante/Alacant;2023;10
634;1992;9871,38;15,57;614;Castilla y León;Soria;2023;10
53;167;1412,45;26,65;21;Ceuta;Ceuta;2023;10
6224;19555;123096,31;23,935;4210;Comunidad Foral de Navarra;Navarra;2023;10
1130;3550;35035,28;62,746;509;Cantabria;Cantabria;2023;10
49613;156813;873522,795;28,2691;27604;Comunidad de Madrid;Madrid;2023;10
3243;10192;166139,55;43,4453;1085;Extremadura;Badajoz;2023;10
2831;8896;51427,47;19,171;1104;Castilla y León;Salamanca;2023;10
1104;3469;28295,08;23,6;472;Castilla - La Mancha;Albacete;2023;10
1438;4518;32869,62;22,8983;640;Andalucía;Jaén;2023;10
7473;22994;206690,2838;36,4546;4449;Andalucía;Málaga;2023;10
3629;11402;65227,34;34,8836;1744;Andalucía;Granada;2023;10
8263;25963;145487,59;39,4997;3304;Cataluña;Tarragona;2023;10
13376;42025;352085,515;22,9179;6487;Andalucía;Sevilla;2023;10
3192;10029;42939,175;19,528;1705;Galicia;A Coruña;2023;10
478;1501;24769,55;53,2122;271;La Rioja;La Rioja;2023;10
977;3070;19840,97;24,69;398;Castilla - La Mancha;Toledo;2023;10
3247;10200;61643,3;17,3086;1567;País Vasco;Gipuzkoa;2023;10
109;343;3491,815;32,035;46;Castilla y León;Segovia;2023;10
13536;42531;188080,915;21,6598;6413;Canarias;Las Palmas;2023;10
184;578;2658,8;14,45;90;Castilla - La Mancha;Cuenca;2023;10
377;1184;11564,55;22,6967;228;Aragón;Teruel;2023;10
2964;9312;113406,62;42,4633;1171;Andalucía;Córdoba;2023;10
919;2887;39992,12;28,9833;402;Galicia;Ourense;2023;10
2058;6468;41086,05;22,6269;901;Cataluña;Girona;2023;10
245;769;6403,25;26,8625;123;Castilla y León;Burgos;2023;10
818;2568;19615,39;28,8578;370;Castilla - La Mancha;Ciudad Real;2023;10
5330;16742;192193,12;34,21;2335;Andalucía;Almería;2023;10
20289;63746;569076,7;26,2008;7937;Comunitat Valenciana;Valencia/València;2023;10
5966;18745;141631,92;21,9193;3069;Canarias;Santa Cruz de Tenerife;2023;10
7393;23178;181319,9;21,2593;4732;Región de Murcia;Murcia;2023;10
253;786;3838,7;17,7667;120;Castilla y León;Segovia;2023;11
1244;3867;60395,26;49,7638;451;Galicia;Lugo;2023;11
1730;5376;45147,58;25,9471;922;Galicia;Pontevedra;2023;11
1077;3346;31055,37;63,522;425;Cantabria;Cantabria;2023;11
8389;25509;179051,085;31,7608;5191;Andalucía;Málaga;2023;11
3540;10998;102701,565;40,851;2014;Cataluña;Tarragona;2023;11
1835;5702;22321,66;12,4829;805;Castilla y León;Salamanca;2023;11
326;1013;10150,67;32,97;145;Castilla y León;Burgos;2023;11
41962;128959;1331102,68;28,3962;21651;Cataluña;Barcelona;2023;11
2777;8629;103931,55;40,4827;1383;Principado de Asturias;Asturias;2023;11
63745;198566;1109152,388;33,7479;33586;Comunidad de Madrid;Madrid;2023;11
856;2660;9930,8;17,05;830;Castilla y León;Soria;2023;11
965;2999;19196,7;16,8217;568;Aragón;Huesca;2023;11
10052;31236;202780,13;21,5239;4801;Aragón;Zaragoza;2023;11
429;1332;10319;18,808;233;Castilla y León;León;2023;11
5770;17928;140296,79;27,6964;2931;País Vasco;Bizkaia;2023;11
69;214;1635,99;23,71;30;Castilla y León;Ávila;2023;11
30;93;715,8;23,86;14;Castilla - La Mancha;Cuenca;2023;11
1158;3599;19668,8;15,215;497;Castilla - La Mancha;Albacete;2023;11
5746;17854;118600,79;14,566;2561;País Vasco;Gipuzkoa;2023;11
4444;13810;130609,31;32,4264;2342;Comunidad Foral de Navarra;Navarra;2023;11
4904;15241;96105,5084;48,0681;2050;Cataluña;Girona;2023;11
1305;4053;33731,15;27,1214;845;Andalucía;Jaén;2023;11
1565;4862;38913,83;51,2011;740;La Rioja;La Rioja;2023;11
8250;25633;143865,92;20,8688;4075;Andalucía;Sevilla;2023;11
726;2257;25403,65;35,785;403;Extremadura;Cáceres;2023;11
1928;5989;41006,56;19,94;418;Andalucía;Huelva;2023;11
7322;21685;309988,67;41,36;3772;Comunitat Valenciana;Alicante/Alacant;2023;11
5089;15813;218654,25;45,464;2050;Andalucía;Córdoba;2023;11
363;1127;16394,15;32,9583;183;Galicia;Ourense;2023;11
793;2462;22105,14;54,4822;339;Castilla - La Mancha;Toledo;2023;11
133;413;2787,68;20,96;65;Ceuta;Ceuta;2023;11
2900;9011;70778,7586;23,9457;1718;Región de Murcia;Murcia;2023;11
2468;7667;54571,78;19,3038;1103;Castilla y León;Valladolid;2023;11
713;2216;14555,44;22,859;312;Castilla - La Mancha;Ciudad Real;2023;11
3248;10092;30826,7125;10,8814;1261;País Vasco;Araba/Álava;2023;11
556;1728;22410,44;24,3;377;Aragón;Teruel;2023;11
2504;7781;57396,6677;20,6566;1355;Galicia;A Coruña;2023;11
6063;18837;214500,6007;22,6278;3264;Canarias;Santa Cruz de Tenerife;2023;11
4299;13357;137977,81;28,61;1735;Comunitat Valenciana;Castellón/Castelló;2023;11
376;1168;10904;29;170;Castilla y León;Zamora;2023;11
16391;50927;214892,82;15,2875;6383;Canarias;Las Palmas;2023;11
2843;8835;93936,32;34,9869;1501;Andalucía;Cádiz;2023;11
38961;121059;1279529,409;22,7357;22072;Illes Balears;Illes Balears;2023;11
13719;42625;358454,215;24,159;5168;Comunitat Valenciana;Valencia/València;2023;11
3015;9368;56255,82;26,9887;1513;Andalucía;Granada;2023;11
74;230;2077,18;28,07;40;Castilla y León;Palencia;2023;11
7597;23605;210366,38;34,8894;5826;Andalucía;Almería;2023;11
1639;5091;61866,54;40,5794;693;Extremadura;Badajoz;2023;11
675;2098;30262,84;24,988;372;Cataluña;Lleida;2023;11
415;1289;11779,25;14,8825;156;Castilla - La Mancha;Guadalajara;2023;11
3699;10335;120831,66;36,0274;1966;Cataluña;Tarragona;2023;12
195;544;913,98;14,065;109;Castilla y León;Ávila;2023;12
934;2609;34673,19;39,992;395;Cantabria;Cantabria;2023;12
5038;13861;215214,71;35,3368;2338;Andalucía;Málaga;2023;12
907;2533;16508,72;24,17;514;Andalucía;Jaén;2023;12
1321;3690;66711,56;55,5356;517;La Rioja;La Rioja;2023;12
11556;32276;278451,78;27,3688;5951;Andalucía;Sevilla;2023;12
41635;116971;892297,2737;29,3751;20696;Comunidad de Madrid;Madrid;2023;12
106;295;2099,18;19,725;54;Galicia;Ourense;2023;12
3551;9917;139180,8145;30,2184;1964;Canarias;Santa Cruz de Tenerife;2023;12
5882;16428;161564,87;21,2633;2469;País Vasco;Gipuzkoa;2023;12
4955;13836;167306,81;45,2091;2705;Cataluña;Girona;2023;12
2668;7451;100926,39;38,5123;1287;Principado de Asturias;Asturias;2023;12
4218;11779;154087,965;31,3685;2049;País Vasco;Bizkaia;2023;12
6525;18222;263712,07;25,88;1970;Castilla - La Mancha;Albacete;2023;12
13245;36991;284331,15;21,6964;3819;Castilla y León;Valladolid;2023;12
4201;11733;124248,57;67,4391;1998;Cataluña;Lleida;2023;12
1077;3007;23334,06;16,7867;610;Galicia;Pontevedra;2023;12
3469;9688;73334,14;31,0788;1572;Andalucía;Granada;2023;12
521;1455;8653,24;15,042;439;Castilla y León;Soria;2023;12
867;2421;40157,17;63;429;Castilla y León;León;2023;12
3205;8951;51875,32;11,1871;772;Castilla - La Mancha;Guadalajara;2023;12
45861;127085;1238041,805;25,9492;23703;Cataluña;Barcelona;2023;12
2795;7807;160500,54;39,8033;1162;Andalucía;Córdoba;2023;12
8810;23717;299772,665;37,2622;4849;Comunitat Valenciana;Alicante/Alacant;2023;12
10474;29251;178725,37;36,8109;8427;Andalucía;Almería;2023;12
2580;7205;145331,32;39,4683;1816;Castilla y León;Zamora;2023;12
2816;7867;39837,11;16,2819;1316;Galicia;A Coruña;2023;12
2256;6300;46480,32;20,4492;1104;Andalucía;Cádiz;2023;12
514;1435;4449,81;11,3044;193;Castilla - La Mancha;Ciudad Real;2023;12
755;2108;21693,56;35,2271;492;Extremadura;Cáceres;2023;12
63;176;1404,9;22,3;28;Ceuta;Ceuta;2023;12
13467;37611;164632,73;15,0765;6642;Aragón;Zaragoza;2023;12
2865;8003;92772,46;31,81;1122;Extremadura;Badajoz;2023;12
7286;20349;117368,2833;16,045;2471;País Vasco;Araba/Álava;2023;12
7601;21229;362657,205;56,2456;3894;Comunidad Foral de Navarra;Navarra;2023;12
62978;175887;2100654,895;21,4594;37138;Illes Balears;Illes Balears;2023;12
53;148;1526,93;28,81;13;Castilla y León;Palencia;2023;12
2894;8080;89092,3034;28,5313;1084;Comunitat Valenciana;Castellón/Castelló;2023;12
13;36;527,28;40,56;4;Castilla - La Mancha;Cuenca;2023;12
12192;34050;241157,76;19,78;2949;Andalucía;Huelva;2023;12
18102;50557;532130,895;19,459;6290;Comunitat Valenciana;Valencia/València;2023;12
10616;29648;231099,51;21,9642;4832;Canarias;Las Palmas;2023;12
10314;28807;243058,87;30,2555;5600;Región de Murcia;Murcia;2023;12
1313;3668;18512,3;17,6229;482;Castilla y León;Salamanca;2023;12
183;511;7230,3;41,95;80;Castilla y León;Burgos;2023;12
515;1438;8724,33;13,7467;229;Castilla y León;Segovia;2023;12
342;955;11057,45;34,0013;156;Castilla - La Mancha;Toledo;2023;12
179;500;6644,73;20,995;111;Aragón;Teruel;2023;12
569;1589;16404,54;42,816;280;Galicia;Lugo;2023;12
2380;6646;41132,77;18,02;1420;Aragón;Huesca;2023;12
1585;5988;30994,53;20,0409;911;Galicia;A Coruña;2024;1
544;2054;32906,26;58,9075;282;Castilla y León;Zamora;2024;1
739;2792;16848,13;16,1675;375;Comunitat Valenciana;Castellón/Castelló;2024;1
34531;130440;1225698,814;22,864;19763;Illes Balears;Illes Balears;2024;1
5743;21693;248990,2794;33,6822;2873;Andalucía;Córdoba;2024;1
1201;4537;40303,73;35,1923;707;Extremadura;Cáceres;2024;1
7547;28508;496563,21;51,383;4143;Comunidad Foral de Navarra;Navarra;2024;1
2292;8656;72953,86;34,459;956;Cataluña;Girona;2024;1
620;2342;9266,68;8,455;237;Castilla - La Mancha;Guadalajara;2024;1
692;2614;13623,85;16,16;380;Galicia;Pontevedra;2024;1
1641;6200;53093,31;36,7856;672;Castilla - La Mancha;Albacete;2024;1
2023;7643;59879,28;28,894;1034;Principado de Asturias;Asturias;2024;1
4480;16923;92853,29;25,8867;1611;Castilla y León;Valladolid;2024;1
2886;10899;79365,09;31,6756;1255;Cataluña;Tarragona;2024;1
161;607;5053,77;24,3075;64;Castilla y León;Ávila;2024;1
703;2655;23792,235;56,2267;338;Castilla y León;León;2024;1
398;1503;7680,66;20,6233;269;Aragón;Huesca;2024;1
637;2406;13510,77;21,21;501;Castilla y León;Palencia;2024;1
13820;52207;339521,57;22,6592;6784;Andalucía;Sevilla;2024;1
7644;26879;292381,58;43,1366;4277;Comunitat Valenciana;Alicante/Alacant;2024;1
8291;30806;359032,96;40,6518;3387;Andalucía;Málaga;2024;1
37210;138440;936322,835;31,9186;20466;Cataluña;Barcelona;2024;1
1146;4330;16544,35;29,2543;654;Andalucía;Jaén;2024;1
960;3626;38046,71;43,4333;356;La Rioja;La Rioja;2024;1
99;374;1967,91;16,0513;40;Castilla - La Mancha;Ciudad Real;2024;1
4260;16091;80826;28,234;2199;Andalucía;Granada;2024;1
6722;25389;130729,32;18,0732;3450;Aragón;Zaragoza;2024;1
90;341;4233,56;55,685;36;Castilla y León;Soria;2024;1
7611;28749;123290,56;30,6243;6224;Andalucía;Almería;2024;1
92;347;1783,785;16,8225;43;Galicia;Lugo;2024;1
102;385;2324,93;31,6267;50;Castilla - La Mancha;Cuenca;2024;1
933;3525;25615,91;49,3;351;Cantabria;Cantabria;2024;1
708;2674;20635,21;38,8782;297;Castilla - La Mancha;Toledo;2024;1
44;164;1544;51,8333;20;Galicia;Ourense;2024;1
2022;7639;66040,66;32,1778;823;Castilla y León;Salamanca;2024;1
4741;17908;100955,3694;15,4854;2269;País Vasco;Gipuzkoa;2024;1
221;836;4890,85;21,6125;49;Andalucía;Huelva;2024;1
850;3211;30495,32;36,7889;432;Extremadura;Badajoz;2024;1
2264;8553;40450,31;16,125;1104;Cataluña;Lleida;2024;1
44714;168958;964458,643;37,5355;23425;Comunidad de Madrid;Madrid;2024;1
106;400;3581,47;35,095;45;Castilla y León;Segovia;2024;1
211;797;6524,12;30,92;149;Aragón;Teruel;2024;1
917;3465;22921,07;15,628;377;País Vasco;Araba/Álava;2024;1
4776;18040;149966,85;27,4439;2461;País Vasco;Bizkaia;2024;1
9268;35005;273081,67;29,7293;4430;Canarias;Las Palmas;2024;1
5380;20323;119249,89;30,3007;3537;Región de Murcia;Murcia;2024;1
509;1923;13982,23;27,47;236;Castilla y León;Burgos;2024;1
3127;11815;52390,8981;20,2692;1823;Andalucía;Cádiz;2024;1
14441;54549;403311,475;28,2034;5735;Comunitat Valenciana;Valencia/València;2024;1
4260;16090;127854,246;23,8976;2008;Canarias;Santa Cruz de Tenerife;2024;1
5665;20661;295415,52;49,1564;3299;Comunidad Foral de Navarra;Navarra;2024;2
16365;59889;383736,385;25,7516;6842;Comunitat Valenciana;Valencia/València;2024;2
702;2560;42448,57;55,3475;366;Castilla y León;Zamora;2024;2
